Data for DRILL

Entries are:   drill name		 drill diameter (in)
64		.0360
63		.0370
62		.0380
61		.0390
60		.0400
59		.0410
58		.0420
57		.0430
56		.0465
55		.0520
54		.0550
53		.0595
52		.0635
51		.0670
50		.0700
49		.0730
48		.0760
47		.0785
46		.0810
45		.0820
44		.0860
43		.0890
42		.0935
41		.0960
40		.0980
39		.0995
38		.1015
37		.1040
36		.1065
35		.1100
34		.1110
33		.1130
32		.1160
31		.1200
30		.1285
29		.1360
28		.1405
27		.1440
26		.1470
25		.1495
24		.1520
23		.1540
22		.1570
21		.1590
20		.1610
19		.1660
18		.1695
17		.1730
16		.1770
15		.1800
14		.1820
13=4.70 mm	.1850
12=4.80 mm	.1890
11		.1910
10		.1935
9		.1960
8		.1990
7		.2010
6		.2040
5		.2055
4		.2090
3		.2130
2		.2210
1		.2280

A		.2340
B		.2380
C		.2420
D		.2460
;E		.2500
F		.2570
G		.2610
H		.2660
I		.2720
J		.2770
K		.2810
L		.2900
M		.2950
N		.3020
O		.3160
P		.3230
Q		.3320
R		.3390
S		.3480
T		.3580
U		.3680
V		.3770
W		.3860
X		.3970
Y		.4040
Z		.4130

0.80 mm		.0315
0.85 mm		.0335
0.90 mm		.0354
0.95 mm		.0374
1.00 mm		.0394
1.05 mm		.0413
1.10 mm		.0433
1.15 mm		.0453
1.20 mm		.0472
1.25 mm		.0492
1.30 mm		.0512
1.35 mm		.0531
1.40 mm		.0551
1.45 mm		.0571
1.50 mm		.0591
1.55 mm		.0610
1.60 mm		.0630
1.65 mm		.0650
1.70 mm		.0669
1.75 mm		.0689
1.80 mm		.0709
1.85 mm		.0728
1.90 mm		.0748
1.95 mm		.0768
2.00 mm		.0787
2.05 mm		.0807
2.10 mm		.0827
2.15 mm		.0846
2.20 mm		.0866
2.25 mm		.0886
2.30 mm		.0906
2.35 mm		.0925
2.40 mm		.0945
2.45 mm		.0965
2.50 mm		.0984
2.55 mm		.1004
2.60 mm		.1024
2.65 mm		.1043
2.70 mm		.1063
2.75 mm		.1083
2.80 mm		.1102
2.85 mm		.1122
2.90 mm		.1142
2.95 mm		.1161
3.00 mm		.1181
3.10 mm		.1220
3.15 mm		.1240
3.20 mm		.1260
3.25 mm		.1280
3.30 mm		.1299
3.40 mm		.1339
3.50 mm		.1378
3.60 mm		.1417
3.70 mm		.1457
3.75 mm		.1476
3.80 mm		.1496
3.90 mm		.1535
4.00 mm		.1575
4.10 mm		.1614
4.20 mm		.1654
4.25 mm		.1673
4.30 mm		.1693
4.40 mm		.1732
4.50 mm		.1772
4.60 mm		.1811
;4.70 mm	.1850
4.75 mm		.1870
;4.80 mm	.1890
4.90 mm		.1929
5.00 mm		.1969
5.10 mm		.2008
5.20 mm		.2047
5.25 mm		.2067
5.30 mm		.2087
5.40 mm		.2126
5.50 mm		.2165
5.60 mm		.2205
5.70 mm		.2244
5.75 mm		.2264
5.80 mm		.2283
5.90 mm		.2323
6.00 mm		.2362
6.10 mm		.2402
6.20 mm		.2441
6.25 mm		.2461
6.30 mm		.2480
6.40 mm		.2520
6.50 mm		.2559
6.60 mm		.2598
6.70 mm		.2638
6.75 mm		.2657
6.80 mm		.2677
6.90 mm		.2717
7.00 mm		.2756
7.10 mm		.2795
7.20 mm		.2835
7.25 mm		.2854
7.30 mm		.2874
7.40 mm		.2914
7.50 mm		.2953
7.60 mm		.2992
7.70 mm		.3031
8.00 mm		.3150
8.10 mm		.3189
8.20 mm		.3228
8.25 mm		.3248
8.30 mm		.3268
8.40 mm		.3307
8.50 mm		.3346
8.60 mm		.3386
8.70 mm		.3425
8.75 mm		.3445
8.80 mm		.3465
8.90 mm		.3504
9.00 mm		.3543
9.10 mm		.3583
9.20 mm		.3622
9.25 mm		.3642
9.30 mm		.3661
9.40 mm		.3701
9.50 mm		.3740
9.60 mm		.3780
9.70 mm		.3819
9.75 mm		.3839
9.80 mm		.3858
9.90 mm		.3898
10.00 mm	.3937
10.10 mm	.3976
10.20 mm	.4016
10.25 mm	.4035
10.30 mm	.4055
10.40 mm	.4094
10.50 mm	.4134
10.60 mm	.4173
10.70 mm	.4213
10.80 mm	.4252
10.90 mm	.4291
11.00 mm	.4331
11.10 mm	.4370
11.20 mm	.4409
11.25 mm	.4429
11.30 mm	.4449
11.40 mm	.4488
11.50 mm	.4528
11.60 mm	.4567
11.70 mm	.4606
11.75 mm	.4626
11.80 mm	.4646
11.90 mm	.4685
12.00 mm	.4724
12.50 mm	.4921
13.00 mm	.5118
13.50 mm	.5315
14.00 mm	.5512
14.50 mm	.5709
15.00 mm	.5906
15.50 mm	.6102
16.00 mm	.6299
16.50 mm	.6496
17.00 mm	.6693
17.50 mm	.6890
18.00 mm	.7087
18.50 mm	.7283
19.00 mm	.7480
19.50 mm	.7677
20.00 mm	.7874
20.50 mm	.8071
21.00 mm	.8268
21.50 mm	.8465
22.00 mm	.8661
22.50 mm	.8858
23.00 mm	.9055
23.50 mm	.9252
24.00 mm	.9449
24.50 mm	.9646
25.00 mm	.9843

;Anything entered below the next line will be ignored
ENDOFDATA

You can add notes here without the need to preface each line with the
comment character (";").

